.,.,.,.,浅棕,深棕,黑色,深棕,深棕,中棕,黑色,黑色,深棕,米色,白色,白色,中棕,深棕,黑色,黑色,中棕,深棕,中棕,中棕,中棕,中棕,中棕,.,.,.,.,.
.,.,.,.,浅棕,中棕,中棕,浅棕,中棕,深棕,中棕,浅棕,米色,白色,白色,白色,中棕,中棕,黑色,黑色,黑色,中棕,深棕,深棕,深棕,中棕,中棕,.,.,.,.,.
.,.,.,.,白色,中棕,中棕,浅棕,浅棕,米色,白色,白色,米色,浅棕,浅红,白色,米色,中棕,深棕,黑色,中棕,深棕,中棕,深棕,黑色,黑色,中棕,.,.,.,.,.
.,.,.,.,.,米色,中棕,浅棕,米色,白色,白色,白色,白色,中棕,浅棕,白色,白色,白色,中棕,中棕,深棕,中棕,深棕,深棕,中棕,深棕,浅棕,.,.,.,.,.
.,.,.,.,.,.,浅棕,米色,白色,白色,白色,米色,米色,中棕,白色,白色,白色,白色,白色,浅棕,浅棕,浅棕,中棕,深棕,深棕,中棕,.,.,.,.,.,.
.,.,.,.,.,.,浅棕,中棕,米色,白色,白色,白色,白色,白色,薄荷绿,白色,白色,白色,白色,浅棕,浅棕,中棕,中棕,深棕,中棕,白色,.,.,.,.,.,.
.,.,.,.,.,米色,粉色,中棕,粉色,白色,白色,白色,白色,白色,白色,白色,白色,白色,白色,白色,浅棕,中棕,中棕,中棕,薄荷绿,.,.,.,.,.,.,.
.,.,.,.,.,浅棕,浅棕,中棕,浅红,浅红,白色,白色,白色,白色,白色,白色,白色,白色,白色,米色,浅棕,浅棕,中棕,浅红,深棕,米色,.,.,.,.,.,.
.,.,.,.,白色,深棕,粉色,中棕,浅红,浅红,浅红,米色,白色,白色,白色,白色,白色,白色,浅红,粉色,浅红,浅红,浅棕,浅棕,深棕,深棕,.,.,.,.,.,.
.,.,.,.,浅棕,深棕,粉色,中棕,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,浅红,中棕,粉色,黑色,深棕,浅棕,.,.,.,.,.
.,.,.,.,中棕,深棕,粉色,中棕,浅红,浅红,浅红,浅红,深红,深红,深红,深红,粉色,浅红,浅红,浅红,浅红,浅红,中棕,中棕,深棕,中棕,深棕,.,.,.,.,.
.,.,.,.,深棕,深棕,中棕,中棕,浅红,浅红,浅红,浅红,深红,深红,深红,深红,深红,浅红,浅红,浅红,浅红,浅棕,浅棕,中棕,中棕,深棕,黑色,米色,.,.,.,.
.,.,.,.,黑色,深棕,中棕,浅棕,中棕,浅红,浅红,浅红,粉色,深红,深红,深红,粉色,浅红,浅红,浅红,浅红,中棕,粉色,深棕,深棕,黑色,黑色,浅棕,.,.,.,.
.,.,.,.,深棕,深棕,中棕,中棕,粉色,中棕,浅红,浅红,浅红,粉色,深红,浅红,浅红,浅红,浅红,粉色,中棕,中棕,中棕,深棕,黑色,深棕,深棕,米色,.,.,.,.
.,.,.,.,浅棕,中棕,中棕,米色,浅棕,粉色,中棕,中棕,粉色,浅红,浅红,浅红,浅红,粉色,中棕,中棕,粉色,深棕,中棕,中棕,中棕,中棕,米色,.,.,.,.,.
.,.,.,.,.,浅棕,中棕,米色,白色,浅棕,浅棕,粉色,粉色,中棕,中棕,中棕,中棕,中棕,粉色,中棕,米色,浅棕,中棕,中棕,浅棕,白色,.,.,.,.,.,.
.,.,.,.,.,.,米色,中棕,白色,.,.,米色,浅棕,浅棕,浅棕,浅棕,浅棕,浅红,米色,白色,白色,中棕,浅棕,米色,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,白色,米色,米色,.,.,.,.,.,.,.,.,白色,米色,浅棕,米色,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,米色,米色,.,.,.,.,白色,米色,米色,白色,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
